Sektion;Nr;Item;Form;Annahme/Frage;Status;Kommentar
9 Cross-View;97;checklist x kanban;Final 2026-05-07;Audit: Drop-Target fehlt heute. Soll: live nach WV.WV. Render-Variante (c) Hybrid: Default Mini-Card (Title + Count + Progress) + Click-Expand-Toggle = Inline-Items-Mini-Liste (Checkbox+Label). Spalte waechst beim Expand - erlaubt (Content-Update, kein Edit-Mode-Toggle). Vorlage-Toggle checklist_card_default mini/expanded in §13. Items draggable aus Inline-Card. Mobile: nur Mini+Modal.;bestaetigt;User 2026-05-07: ich gehe mit allem konform + Zero-Shift-Praezisierung (nur Edit-Mode-Toggle)
9 Cross-View;98;checklist x calendar (Wiedervorlage);Final 2026-05-07;Live seit Welle T.AC.D.1 (SidebarCalendarMini + dropAtomOnDate + Modal mit Range/Recur/Time). Analog 9.6 mit Click-Action (b) Detail-Modal + Open-Button + Hauptkalender-Drop-Target via WV.WV.;bestaetigt;User 2026-05-07: wenn live und funktional dann weiter
9 Cross-View;98a;Click-Action auf Checklist-Calendar-Termin;Annahme;Final 2026-05-07. Variante (b) analog 9.6a: Detail-Modal mit Items-Preview (erste 3-5 Items + Checkbox-Status + +N weitere) + Checkliste oeffnen-Button + Edit-Button. WV.WV.;bestaetigt;User 2026-05-07: weiteren (b)
9 Cross-View;99;doc x kanban;Final 2026-05-07 (refined 9.10);Drop-Pfad: Drag doc aus allen Drag-Sources (DocsPopup + Sidebar-Liste + Doc-Card-NavTree + Atom-Mention) -> §9.B Drag-Hover-Navigator -> Cell -> WidgetPicker-Modal (generisch ueberholt KanbanColPicker). User muss aktiv waehlen - kein Preselect - bei Abbruch verworfen. Card<doc>: Title + Mini-Excerpt 80 Zeichen + Doc-Icon + Pin-Count-Badge. Click=DocsPopup.;bestaetigt;User: 1=alle drag sources 2=einheitlich nach drop 3=User muss waehlen sonst verworfen 4=passt 5=passt 6=ja
9 Cross-View;910;doc x checklist (Copy/Paste + Root-Widget + Modal->NavTree);Final 2026-05-07;Drei Pfade. (A) Copy/Paste mit Clipboard-Detection (Doc-Atom-Ref / Plain-Text-Lines / Markdown -[]). Bulk-Paste auf Multi-Select. (B) Root-Widget-Logik mit Multi-Root-Disambiguierung (User-Klarstellung): mehrere Vorlagen in einer Cell koennen Checklist als Root haben. Routing: ≥2 Root=WidgetPicker prominent / =1 Root=direkt / 0 Root + ≥1 non-Root=WidgetPicker / 0 kompatibel=Confirm Neue-Vorlage. (C) Doc-Editor->NavTree-Suche als Sub-Pattern §9.B Modal-Variante: Liste markieren + Als-Checkliste-Toolbar oder /checklist Slash-Command -> Dialog mit Alias-Autocomplete + Absprung-Button map-pin -> Canvas-Blur + NavTree-Puls + Cell-Wahl. Multi-Select: nur markierte. Card<doc> in Checklist-Item polymorph.;bestaetigt;User: alles ja + Multi-Root-Klarstellung
9 Cross-View;910a;Root-Widget-Attribut auf feature_templates;Architektur-Erweiterung;Final 2026-05-07. feature_templates.root_widget_id uuid NULL REFERENCES template_widgets(id). Vorlage-Designer (§7.10) Inspector mit Root-Widget-Toggle pro Widget. Multi-Root pro Cell: WidgetPicker.;bestaetigt;User: Multi-Root-Klarstellung
9 Cross-View;910b;WidgetPicker (ueberholt KanbanColPicker);Komponenten-Refactor;Final 2026-05-07. Generischer WidgetPicker statt spezifischer KanbanColPicker. Reuse: Kanban-Spalten / Checklist / Form-Field-Slot / Multi-Root-Disambiguierung / Bulk-Apply mehrdeutige Ziele. Anlage gemaess code-quality.md §6.5. WV.WV als 5. Output.;bestaetigt;User: ja zu Frage 4 + Multi-Root
9 Cross-View;910;doc x checklist;Luecke;V1 Welle E.16;offen;"hier sehe ich folgendes: Copy/Pase kann man ja schon machen (sollte so sein!) -> Navtree (oder checklist) markieren -> Paste -> boom Checklist-Dialog geht auf. �berlegung k�nnte aber sein, dass features ein gewissen ""root widget"" haben -> Wenn root widget eine Checklist, dann kann in diesem feature ohne nachfrage gepastet werden, wenn checklist kein root widget, dann wird nachgefragt, ob man hier sicher eine checklist erzeugen will (�berlegung!). 2. In den Doks: Liste markieren > checkliste anlegen: Dialog mit aliaseingabe und autovervollst�ndigung / Suche - Absprungbutton mit symbol -> in Nav w�hlen (oder statisches Element im Such/alias-Dropdown ""In Navtree suchen"" oder so �hnlich -> dann graut der Dialog und das Canvas aus / wird gaussian verschwommen, und die Nav-sidebar klapt auf (falls verschlossen) mit einem kurzem puls des nav-tree-bereichts."
9 Cross-View;911;doc x calendar;Final 2026-05-07;Analog 9.6/9.8 nach WV.WV: SidebarCalendarMini doc-Branch + ManifestationAtomType erweitert um doc + atomLabelFor=Doku + dropAtomOnDate generisch + Click-Action analog 9.8a (Detail-Modal mit Doc-Excerpt + Doku-oeffnen-Button + Edit) + Hauptkalender-Drop-Target.;bestaetigt;User: kannst quittieren
9 Cross-View;912;imported_event x widgets (Drag-Source freigeschaltet);Final 2026-05-07;DragAtomType erweitert um imported_event als 5. draggable Atom-Type. Drop-Targets alle ausser gleicher Calendar-Tag. Calendar-zu-Calendar = Wiedervorlage-Manifestation mit eigenem display_meta-Snapshot. Kanban/Checklist/Cell-Pin via Generic-Drop. Source-Update: Title syncs Datum bleibt Snapshot. Card<imported_event>: Title+Provider-Color+Date+Source-URL-Button. Edit-Mode: kein Edit nur X-Button. Tags-Pills read-write.;bestaetigt;User 2026-05-07: alle wie empfohlen
9 Cross-View;913;info_field x kanban (post-WV.B);Final 2026-05-07;DragAtomType+info_field. Drag aus Form-Widget-Field-Row -> §9.B DragHoverNavigator -> WidgetPicker mit Root-Widget-Routing. Card<info_field>: Title=label + Value-typed-rendered + Origin-Badge. Click=drill+focus+Pulse. Edit-Sync Single-Source. Drop-Target-Coverage: Kanban/Checklist/Calendar(auto-Adapter)/Doc-Pin/Cell-Pin. Bei Link-Drop: Adapter-Dialog mit Anzeigetext+URL.;bestaetigt;User: 5=click drillt+Pulse 7=Link-Drop-Dialog
9 Cross-View;913a;Cross-Type-Drop-Adapter-Pattern (Querschnitt);Architektur-Direktive;Final 2026-05-07. Atom-Type-A auf Widget-Slot fuer Atom-Type-B = Adapter-Dialog mit Default-Mapping + User-Override + Submit erzeugt Atom-B oder Pseudo-Atom mit Snapshot. Reuse: info_field-url->Link-Widget, info_field-date->Calendar (auto), doc->Kanban-Card, link->Doc-Pin. Verankert in §9.C.;bestaetigt;User-Wunsch zu 9.13.7 als Querschnitt
9 Cross-View;914;info_field x calendar (auto aus typed Date-Field);Final 2026-05-07;Auto-Adapter §9.C ohne Dialog: info_field.value_type=date + value!=NULL = automatische Calendar-Manifestation mit start_date=value + label. Vorlage-Toggle Date-Felder im Calendar §13 Default ein. Postgres-Trigger sync. value=NULL = Manifestation entfaellt. Click=drill+focus+Pulse. V1 Single-Day, post-V1 date_range. Recur manuell.;bestaetigt;User: alle wie empfohlen
10 Kalender;101;link calendar Wiedervorlage;Cross-Reference;Bereits final in §9.6 - live seit Welle T.AC.D.1.;bestaetigt;User: ja
10 Kalender;102;checklist calendar Wiedervorlage;Cross-Reference;Bereits final in §9.8 + §9.8a Click-Action.;bestaetigt;User: ja
10 Kalender;103;doc calendar;Cross-Reference;Bereits final in §9.11 - post-WV.WV. Click-Action analog 9.8a.;bestaetigt;User: ja
10 Kalender;104;Auto-Calendar aus typed Date-Field;Cross-Reference;Bereits final in §9.14 + §13.10 - Vorlage-Toggle date_field_auto_calendar pro Vorlage einstellbar.;bestaetigt;User: ja
10 Kalender;105;Calendar-Outbound-Sync;Final 2026-05-07;Welle WV.E. Provider: Google + Outlook (Graph) + MS365. Bidirektional. OAuth-Re-Auth mit Write-Scope beim Aktivieren.;bestaetigt;User: 2-5 alle ok
11 Smart Summary;111;6 Default-Widgets aus Stub (1:1);Final 2026-05-07;Original-Stub: Kommende Tasks + Anstehende Termine + Ueberfaellig + Links + Docs + Activity. Vertragsende verworfen (zu spezifisch).;bestaetigt;User: Vertragsende ist zu spezifisch lass das weg anstehendes ist besser
11 Smart Summary;112;Filter pro Widget + Scope-Toggle Cell vs Cell+Substruktur;Final 2026-05-07;Max Filter-Flexibilitaet alle Filter-Builder-Conditions. Plus Scope-Toggle auf Smart-Summary-Feature-Page: cell_only vs cell_plus_substructure (rekursiv bei Sub-Matrizen). User-Override pro Cell.;bestaetigt;User: max Flexibilitaet + toggle auf der smart summary Feature page selbst
11 Smart Summary;113;Smart Summary OHNE Comments/Attachments;Final 2026-05-07;Korrektur: Comment-Toggles + Attachment-Toggles entfallen komplett. Smart Summary ist Read-Only-Aggregat - Kommentare am Atom selbst.;bestaetigt;User: warum braucht smart summary Attachments und comments? denke das sollte weg
11 Smart Summary;114;User-Override sparse via cell_widget_overrides;Final 2026-05-07;User kann pro Cell Smart-Summary-Widgets ausblenden/hinzufuegen/umordnen. Sparse-Overrides existing §5.3 + §6.3a.;bestaetigt;User: ja
11 Smart Summary;115;link.click_count V1-Pflicht (heute nicht existing);Final 2026-05-07;Audit: keine Spalte/Code-Pfad. V1-Pflicht-Migration in WV.B: links.click_count int default 0 + Increment-Trigger.;bestaetigt;User: nachziehen
11 Smart Summary;116;Smart Summary = Auto-Render-Pattern KEIN Hotkey-Slot;Architektur-Klarstellung;Final 2026-05-07. Smart Summary wird automatisch unter den Features gerendert (existing MatrixView.tsx:1103 rendert CellTaskSummary). Kein Hotkey-Slot kein Wizard. feature_templates bekommt render_position-Discriminator: hotkey_slot vs auto_under_features. Smart Summary = auto_under_features.;bestaetigt;User: Smart Summary in keinen Slot - wird bereits gerendert direkt unter den Features
11 Smart Summary;117;AI-Faehigkeiten V2;Empfehlung;V2: KI-Filter via Welle-A-Pipe (heute relevante Aufgaben statt fester Filter). Welle A live. V2 deferred.;offen;nicht diskutiert V2 deferred
12 Info-Konsolidierung;121;Migration cell.data.infoFields zu Atom (Clean-cut WV.B);Final;info_fields-Tabelle + atom_type=info_field. cell.data gedroppt cells.data droppen wenn leer.;bestaetigt;User 2026-05-06: Clean-cut
12 Info-Konsolidierung;122;Migration cell.data.links zu link-Atom (Clean-cut WV.B);Final 2026-05-07;analog 12.1: cell.data.links → link-Atome mit provider=url + atom_manifestations(standalone). cells.data droppen wenn leer.;bestaetigt;User: passt
12 Info-Konsolidierung;123;Initiale typed Field-Types V1 (10 Werte);Final 2026-05-07;text/number/date/currency/boolean/email/phone/url/enum/alias-ref. V2: rating/percentage/file-ref/markdown/range.;bestaetigt;User: passt
12 Info-Konsolidierung;124;Info-Vorlage Default-Layout (3 Sections);Final 2026-05-07;Felder/Links/Doku. User kann erweitern.;bestaetigt;User: passt
12 Info-Konsolidierung;125;Verhaeltnis zu Welle O.9;Final 2026-05-07;V1 Layer getrennt. V2 Object-Field-Inheritance optional pro Vorlage.;bestaetigt;User: passt
12 Info-Konsolidierung;126;Auto-Symbol pro Field-Type (10 Heroicons);Final 2026-05-07;text=document-text number=calculator date=calendar currency=banknotes boolean=check-circle email=envelope phone=phone url=link enum=list-bullet alias-ref=at-symbol.;bestaetigt;User-Vorgabe Auto-Symbol
12 Info-Konsolidierung;127;Auto-Symbol pro Link-Provider + Favicon-Fetch;Final 2026-05-07;15 Provider. provider=url=Favicon (SW-Cache TTL 30d Fallback globe). Mail/OneNote/Notion/Cloud/Messenger=Brand-SVG. Filesystem=folder. Auto-Detection + manueller Override.;bestaetigt;User-Vorgabe favicon oder Symbol fuer bekannte links
12 Info-Konsolidierung;128;Symbol-Toggle drei Ebenen;Final 2026-05-07;Pro Vorlage on/off. Pro Atom on/off. Pro Atom manuelle Wahl via IconPicker. Resolution: User-Override → Favicon (url) → Auto → generischer Fallback.;bestaetigt;User-Vorgabe Symboltoggle und Symbolauswahl
12 Info-Konsolidierung;129;symbol_override-Spalte auf info_fields + links;Final 2026-05-07;info_fields.symbol_override + links.symbol_override (Heroicons-Name oder Brand-Icon-Key). NULL=Auto.;bestaetigt;folgt aus 12.8
12 Info-Konsolidierung;1210;Performance-Pflicht Symbol-System;Final 2026-05-07;Favicon-Fetch via SW-Cache. Brand-Icons als SVG-Assets in client-web/src/assets/brand-icons/. Lazy-Render via IntersectionObserver in langen Listen.;bestaetigt;User: passt
13 Toggles;131;V1-Provider Comments;Final 2026-05-07;V1 = SMTP (Outbound) + IMAP (Inbound) + Slack + Teams (bidirektional via Standard-Protokollen + App-Bot/Events-API). V2 = Outlook-Graph + Gmail-API. Protonmail entfaellt.;bestaetigt;User: V1=SMTP+IMAP/Slack/Teams spaeter Mail-APIs Proton entfaellt
13 Toggles;132;V2-Provider Comments;Empfehlung;WhatsApp-Business Telegram Discord;bestaetigt;User: gerne
13 Toggles;133;V1-Provider Attachments;Final 2026-05-07;OneDrive + Google Drive + Dropbox + Nextcloud + pCloud. V2 = kDrive MagentaCLOUD Tresorit Mailbox.org.;bestaetigt;User: passt
13 Toggles;134;Comment-Toggle Default external;Annahme;per §14;bestaetigt;User: ja
13 Toggles;135;Attachment-Toggle Default cloud;Annahme;per §14;bestaetigt;User: ja
13 Toggles;136;Marker als eigene Tabelle atom_markers;Final 2026-05-07;Eigene Tabelle statt JSONB. (workspace_id atom_type atom_id user_id kind=star/eye/highlight) UNIQUE per (atom user kind). Heptad-konform.;bestaetigt;User: ja
13 Toggles;137;edit_in_view Default pro Widget-Type;Final 2026-05-07;task-list/checklist=true info-form/doc=false sonst=false. Vorlage-Designer-Inspector-Toggle pro Widget. Mit 13.7a Harmonisierungs-Modal am Schluss.;bestaetigt;User: okay dann muesste im Nachgang harmonisiert werden
13 Toggles;137a;Konflikt-Audit AccountVisibility vs edit_in_view (Audit-Final, Entscheidung deferred zum Wrap-up);Architektur-Audit;Audit 2026-05-07: AccountVisibility-Tab regelt Bedienelement-Sichtbarkeit mit 15 VisKeys + 3 Optionen (edit/always/never). edit_in_view-Widget-Toggle = Widget-Inhalt-Editierbarkeit per Vorlage. Kein direkter Konflikt aber subtile UX-Inkonsistenz. Drei Optionen Wrap-up: (1) getrennt belassen / (2) integrieren als VIS_KEY widgetInlineEdit / (3) Hybrid User-Default + Vorlage-Override (analog §6.3a). Empfehlung Variante 3. Wrap-up am Konzept-Ende.;Audit-final Entscheidung deferred;User: verankern + und dann weiter
13 Toggles;138;OAuth-Token-Storage;Frage;Pattern aus Welle A user_ai_providers reusen;bestaetigt;User: ja
13 Toggles;139;checklist_card_default mini/expanded (aus §9.7);Final 2026-05-07;Vorlage-Toggle pro Checklist-Widget Default Render-Variante in Kanban.;bestaetigt;User: ja
13 Toggles;1310;date_field_auto_calendar bool (aus §9.14);Final 2026-05-07;Vorlage-Toggle pro Vorlage Auto-Calendar-Manifestation aus Date-Fields. Default ein.;bestaetigt;User: ja
14 Alias-Sharing;141;Public-Resolve-Endpoint Default-Permission;Final 2026-05-07;Member-only + Login-Redirect Param. DSGVO-konform.;bestaetigt;User: ja
14 Alias-Sharing;142;Public-Token Anonymous-Sharing V2;Final 2026-05-07;V2 deferred. Signed-URL-JWT + Revocation + TTL + Audit-Log. BACKLOG Vision V2+.;bestaetigt V2;User: ja V2
14 Alias-Sharing;143;AI-Tool alias.expand_to_text Format;Final 2026-05-07;Default markdown. Alle 3 Formate via Param: markdown/plain/html.;bestaetigt;User: ja
14 Alias-Sharing;144;Drag-Drop-MIME-Types;Final 2026-05-07;Alle 4 V1: text/plain text/html text/uri-list application/x-matrix-atom-ref. Empfaenger waehlt.;bestaetigt;User: ja
14 Alias-Sharing;145;Custom-MIME Rename + JSON-Format;Final 2026-05-07;Rename application/x-matrix-atom → application/x-matrix-atom-ref (drag-context.ts:84). Plus Format-Erweiterung String → JSON {atomType,atomId,workspaceId}. Migration in WV.WV.;bestaetigt;User: was Sinn macht waehlen
14 Alias-Sharing;146;Alias-Autocomplete in allen Text-Inputs;Final 2026-05-07;Direktive: ueberall wo User Text schreibt = ^-Trigger Autocomplete. Coverage: Doc-Editor (live) + Comment-Editor + Mail/Slack/Teams-Compose-Bridge + Smart-Summary-Filter + Filter-Builder + Vorlagen-Designer + Info-Field-URL (14.7). Reuse use-alias-autocomplete.ts.;bestaetigt;User: ja
14 Alias-Sharing;147;Alias als URL-Wert in info_field (Direktverlinkung);Final 2026-05-07;User kann ^kunde statt URL eintippen. Storage: Alias als String. Validation akzeptiert ^-Format. Render: Welle-D-Resolver expandiert live. Click: zum Ziel-Atom. Symbol: vom Ziel-Atom geerbt. Live-Resolver folgt bei Aenderung. UX: ^-Trigger Autocomplete (§14.6).;bestaetigt;User-Vorgabe: in einem Infofeld URL kann ich auch einfach ein alias eintippen als direktverlinkung
14a Fundus;F1;Form des Fundus;Frage;Eigene Matrix auf Workspace-Root oder abgelegener Container? Visuell unterscheidbar Hintergrund-Farbe/dimmed/eigenes Symbol;deferred;User-Quote: Anlage fundus-matrix auf oberster Ebene oder etwas abgelegen abrufbar
14a Fundus;F2;Atom-Status im Fundus;Frage;Aktiv (Realtime + Alias-resolvable) oder frozen-Snapshot;deferred;Konsequenz §5.8 + Alias-Resolver
14a Fundus;F3;Manifestationen-Konsequenz bei anderen Cells;Frage;Mit-verschoben / hart entfernt / unveraendert sichtbar;deferred;Single-Source vs Live-Reference
14a Fundus;F4;Alias-Resolution bei Fundus-Atom;Frage;Aufloesbar mit Hint / broken / soft-broken mit Warnung;deferred;Aliasaufloesung darf nicht ins Leere zeigen
14a Fundus;F5;Schema-Form;Frage;is_in_fundus / eigene Tabelle / state-Enum;deferred;Heptad-Slot 1 + Performance
14a Fundus;F6;Berechtigungen + Scope;Frage;User-privat / Workspace-shared / Plattform / Hybrid;deferred;RLS-Form
14a Fundus;F7;Restore-Pfad UX;Frage;Drag-Drop / Restore-Button mit Cell-Picker / Auto-Restore via Alias;deferred;UX-Flow
14a Fundus;F8;Fundus vs Export-Doppelboden §8.2;Frage;Beide noetig - andere Funktionen?;deferred;Beziehung der zwei Doppelboeden klaeren
14a Fundus;F9;Sub-Strukturen + Sub-Matrizen;Frage;Rekursive Mit-Verschiebung oder nur Manifestation;deferred;Rekursions-Logik
14a Fundus;F10;Auto-Cleanup nach X Tagen;Frage;Hart-Delete-Timer oder ewige Aufbewahrung;deferred;Storage-Hygiene
14a Fundus;F11;Migration heutiger Soft-Delete;Frage;Konsolidierung mit archived_at (Welle T) + Doc-Pin-Soft-State;deferred;Adjacent-Cleanup
14a Fundus;F12;Foundation-§14-Probe;Frage;Native vs Bridge-Konzept (Atom in OneNote-Archiv-Section?);deferred;Integration-First-Probe
15 Heptad;151;Tabellen-Liste vollstaendig;Final 2026-05-07 (User: du entscheidest fachlich);13 Tabellen-Eintraege in 3 Sub-Tabellen. A) feature_templates+template_sections+template_widgets+cell_template_instances+cell_widget_overrides+hotkey_slots. B) info_fields(NEU)+links(EXTENDED)+user_oauth_tokens(NEU)+widget_external_channels(NEU). C) saved_filters(NEU)+atom_markers(NEU)+atom_manifestations(EXTENDED 9.A)+atom_pins(GONE 9.A). Kein dito-Schleifen. hotkey_slots EINE Tabelle mit scope-Discriminator analog saved_filters. feature_templates.scope-Discriminator statt eigener Plattform-Tabelle.;bestaetigt;Claude-Entscheidung im Projektkontext
15 Heptad;152;OAuth-Tokens nicht exportieren;Final 2026-05-07;User-privat per RLS Workspace-Export public Token-Export = Datenpanne. Praezedenz user_ai_providers Architektur 12.4. User muss Channels neu verknuepfen UX-Hint im Wizard.;bestaetigt;
15 Heptad;153;Realtime fuer feature_templates;Final 2026-05-07;Workspace-Channel mit RLS-Filter (eine Subscription RLS schneidet User-scope Owner-side zu). 5.1 ein Channel pro Workspace. Throttle nicht noetig.;bestaetigt;User-CSV per toggle workspace/User wird durch RLS-Filter abgedeckt
15 Heptad;154;RLS-Skizze;Final 2026-05-07;Plattform-WRITE nur is_platform_admin User-Vorlage SELECT nur Owner Workspace SELECT is_workspace_member + WRITE can_write_workspace. Detail-Tabelle in 15.4.;bestaetigt;
15 Heptad;155;Channel-Bridge-Slot 8 immer gefuellt;Final 2026-05-07;14.3 Pflicht. Strukturdaten/Annotation 8 Tabellen = n/a. User-Inhalts-Tabellen info_fields(V2-Bridge)/links(provider-Discr=Bridge)/user_oauth_tokens(=Bridge-Identitaet)/widget_external_channels(=Bridge-Slot). Foundation-Probe 14.7 vor Welle WV.D.;bestaetigt;
16 Reihenfolge;160;Pre-WV.A Pflicht-Sprints;Final 2026-05-08;WV.WV (atom_pins-Konsolidierung + 7 Komponenten + MIME-Rename) + WV.Y (Atom-Filter-Attribute-Audit). WV.X NICHT Pre-WV.A-Pflicht (deferred). ~17-22d.;bestaetigt;Pre-WV.A-Pflicht: atom_pins-Konsolidierung als Schema-Foundation Filter-Attrs als Single-Source
16 Reihenfolge;161;Welle A Foundation (~15d);Final 2026-05-08;feature_templates + template_sections + template_widgets + cell_template_instances + cell_widget_overrides + hotkey_slots + saved_filters (alle 7 Tabellen) + RLS + Realtime + Plattform-Defaults + Widget-Renderer + FilterBuilderModal;bestaetigt;saved_filters/hotkey_slots vorgezogen weil Foundation-Konsumenten
16 Reihenfolge;162;Welle B Atom-Erweiterung + Symbol-System (~13d);Final 2026-05-08;info_fields-Atom + links-EXTENDED (provider/symbol_override/click_count) + atom_markers + Symbol-System (10+15 Defaults + Favicon-Fetch SW-Cache + Lazy-Render) + Backfills clean-cut;bestaetigt;Symbol-System gehoert zu Atom-Welle nicht F
16 Reihenfolge;163;Welle C Vorlagen-CRUD + Bulk-Apply (~14d);Final 2026-05-08;Vorlagen-Verwaltungs-Route /w/:wsId/templates/ V1 (NICHT V2) + Save-as-Template + Multi-Select + Bulk-Hotkey + 4 Bulk-Komponenten + Reset-to-Template + layout_version-Pinning;bestaetigt;Vorlagen-Route V1 per User-Direktive 2026-05-05
16 Reihenfolge;164;Welle D Channel-Bridges (~25d);Final 2026-05-08;user_oauth_tokens + widget_external_channels + OAuth-Foundation + OneNote-Doc-Sync + Mail-Bridge SMTP+IMAP+Slack+Teams + Cloud OneDrive+Drive+Dropbox+Nextcloud+pCloud + Public-Alias-Resolve Member-only + AI-Tool alias.expand_to_text;bestaetigt;V1-Provider-Listen aus 13.1+13.3
16 Reihenfolge;165;WV.Z Fundus (deferred vor F empfohlen ~10-15d);Final 2026-05-08;Konzept-Sub-Sprint F.1-F.12 + fundus_*-Schema + Restore-UX + DangerousDeleteModal-Adjacent-Cleanup mit zweitem Knopf;bestaetigt;NICHT V1-Blocker Welle C startet mit Hard-Delete + Export-Doppelboden
16 Reihenfolge;166;Welle E Cross-View-Komplettierung (~10d);Final 2026-05-08;Doc-Cross-View + Auto-Calendar-aus-Date-Field (info_field 9.14) + Calendar-Outbound (Google+Outlook+MS365 9.5) + info_field-Drag-Source post-WV.B;bestaetigt;
16 Reihenfolge;167;Welle F Polish + Activity (~10d);Final 2026-05-08;Activity-Stream-Multi-Source (Mail+Messenger+Mutations+native) + Marker-UX auf atom_markers + Designer-Route V1-minimal oder V2 deferred;bestaetigt;Designer-Entscheidung in F selbst
16 Reihenfolge;168;WV.X Picker-Audit (deferred Timing TBD ~10-15d);Final 2026-05-08;Refactor heutiger Picker-Foundation Alias/Object/Tag/User/Atom/Cell. Welle WV.A-F nutzen heutige Picker as-is.;bestaetigt;User-Direktive 2026-05-07 muss nicht jetzt sein
16 Reihenfolge;169;Aufwand gesamt;Final 2026-05-08;~125-140d (Wellen-Kern ~87d + Pre+Deferred ~37-52d);bestaetigt;ok lieber mehr als weniger
17 Risiken;171;R-WV-1 Foundation-Refactor-Tiefe;Final 2026-05-08;Welle A nur Foundation parallele Komponenten bis Default-Vorlagen abloesen (Welle C). Pre-WV.A WV.WV Card-Polymorphie + Drop-Refactor vermindert Welle-A-Beruehrung.;bestaetigt;
17 Risiken;172;R-WV-2 Bestand-Migration;Final 2026-05-08;Clean-cut User: keine relevanten Daten. Memory feedback_clean_cut_no_prod_data.md.;bestaetigt;
17 Risiken;173;R-WV-3 Permissions;Final 2026-05-08;RLS pro Tabelle 15.4 detailliert mit Discriminator-Branching.;bestaetigt;
17 Risiken;174;R-WV-4 Provider-OAuth-Komplexitaet;Final 2026-05-08;OAuth-Foundation als shared Pattern user_oauth_tokens einheitlich + Admin-Dashboard-Slots mit Verify-Buttons. V1-Liste pro Domain aus 13.1+13.3.;bestaetigt;Mitigation angepasst
17 Risiken;175;R-WV-5 Layout-Versionen;Final 2026-05-08;layout_version-Pinning + UI-Hint 6.3c.;bestaetigt;
17 Risiken;176;R-WV-6 Performance Widget-Render;Final 2026-05-08;Lazy-Subscribe Realtime-Routing Skeleton + virtualisiertes Scrolling V2 wenn noetig + Measurement vor Optimierung.;bestaetigt;
17 Risiken;177;R-WV-7 Hotkey-Konflikt;Final 2026-05-08;Slot-Hint-Toolbar + Confirm bei Override 8.7.;bestaetigt;
17 Risiken;178;R-WV-8 Cross-View-Drag-Edge-Cases;Final 2026-05-08;Live-Resolve via title_template Welle D existing.;bestaetigt;
17 Risiken;179;R-WV-9 AI-Tool-Permission;Final 2026-05-08;Permission-Check im Tool + AI-Tool laeuft mit User-JWT (nicht service_role) RLS schneidet zu.;bestaetigt;
17 Risiken;1710;R-WV-10 Atom-spezifische Filter-Attribute;Final 2026-05-08;Eigener WV.Y Audit-Sprint Pre-WV.A-Pflicht. lib/atom-filter-attrs.ts Single-Source.;bestaetigt;
17 Risiken;1711;R-WV-11 Filter-Builder-Globalitaet;Final 2026-05-08;components/FilterBuilder/ + README + Adjacent-Cleanup-Probe + Storybook/Playwright-Test pro Caller.;bestaetigt;
17 Risiken;1712;R-WV-12 Picker-Helper-Globalisierung;Final 2026-05-08;Eigener WV.X Picker-Audit-Sprint deferred Timing TBD.;bestaetigt;
17 Risiken;1713;R-WV-13 NEU Custom-MIME-Migration WV.WV;Neu+Final 2026-05-08;Pre-Sprint-Audit Grep + alle Get-Handler in einem Commit + Smoke-Test pro Drop-Target + Vitest dataTransfer-MIME-Konvention.;bestaetigt;Neu aus 14.5-Diskussion
17 Risiken;1714;R-WV-14 NEU Symbol-System Performance;Neu+Final 2026-05-08;Sprite-Sheet 15 Brand-SVGs (1 Request statt 15) + async Favicon-Fetch + Skeleton + Measurement vor Optimierung Audit erst bei >100 Cells.;bestaetigt;Neu aus 12.10-Diskussion
17 Risiken;1715;R-WV-15 NEU Fundus-Soft-Delete-Konsolidierung;Neu+Final 2026-05-08;F.11-Frage in WV.Z-Sub-Sprint. Empfehlung is_in_fundus-Pattern + Tasks-archived_at-Migration + Doc-Pins-Migration als zweiter Schritt. Kein V1-Blocker.;bestaetigt;Neu aus 14a + 16-Diskussion
17 Risiken;1716;17.1 Filter-Attribute-Liste V1-Vorschlag;Final 2026-05-08;6 Atom-Types mit V1-Filter-Attributen task/doc/link/checklist/info_field/imported_event. Audit-Eingang fuer WV.Y. Finale Definition in WV.Y nicht jetzt.;bestaetigt;Final als V1-Vorschlag
18 Verifikation;181;Trace-Test 1 Bulk-Apply Vorlage;Final 2026-05-08;Setup 5 Cells + User-Vorlage Info Vertrag + 2 Browser-Sessions. 8 Schritte Strg+E -> Strg+A -> Hotkey 6 -> Wizard 3 Steps -> Apply -> Undo. Erfolgs-Kriterien 5 cell_template_instances Aliase resolvable Realtime <2s Apply <500ms Zero-Shift. Fail-Modes dokumentiert.;bestaetigt;Konkrete Setup+Schritte+Kriterien
18 Verifikation;182;Trace-Test 2 Doc-Cross-View OneNote;Final 2026-05-08;Setup OneNote-OAuth + Workspace-Mapping + 3 Browser-Sessions. 11 Schritte Edit -> Sync -> Realtime -> Drag-Kanban -> WidgetPicker -> Card<doc> -> Drag-Calendar -> AdapterDialog -> Live-Title-Update. Erfolgs-Kriterien OneNote <10s Realtime <2s Live-Resolve kein Snapshot 3 Sub-Tests Custom-MIME-JSON.;bestaetigt;
